,cntSender,cntRecipient
Free Nokia,329.0,7.0
Nymex,328.0,157.0
Holden Salisbury,327.0,342.0
Mary Fischer,327.0,132.0
William Bradford,326.0,951.0
Casey Evans,326.0,463.0
Gavin Dillingham,324.0,10.0
Joan Veselack,322.0,167.0
Stuart Zisman,321.0,230.0
Richard Hanagriff,319.0,45.0
Jim Schweiger,317.0,89.0
Ed Mcmichael,315.0,405.0
Murray Oneil,314.0,195.0
Randal Gay,311.0,69.0
Frank Hayden,309.0,279.0
Edward Baughman,309.0,231.0
Exchange,308.0,0.0
Tanya Rohauer,301.0,480.0
Greg Porter,301.0,215.0
Mark Greenberg,301.0,86.0
Russell Diamond,299.0,442.0
Stacey Bolton,299.0,88.0
Arsystem,299.0,14.0
Evelyn Metoyer,298.0,251.0
Jeff Shankman,298.0,64.0
Hector Mcloughlin,297.0,112.0
Karen Buckley,296.0,48.0
Amy Fitzpatrick,295.0,218.0
Tina Leavy,292.0,2.0
Stinson Gibner,289.0,737.0
Stephanie Miller,286.0,205.0
Robert Lloyd,286.0,132.0
Robert Bruce,285.0,296.0
Juan Hernandez,283.0,363.0
Dale Neuner,283.0,178.0
Jennifer Thome,282.0,145.0
Michael Frazier,278.0,66.0
Michael Tribolet,276.0,193.0
Joan Quick,276.0,127.0
Erik Wollam,275.0,202.0
Nyiso,274.0,111.0
Amr Ibrahim,274.0,45.0
Don Baughman,273.0,1046.0
Sandra Brawner,270.0,435.0
Hodge,270.0,120.0
Kevin Moore,270.0,79.0
Lorraine Lindberg,268.0,655.0
Veronica Gonzalez,268.0,55.0
Heather Choate,267.0,95.0
Enronpostmaster,267.0,5.0
Stone,266.0,510.0
Steve Van Hooser,266.0,157.0
John Shelk,266.0,76.0
Lisa Mellencamp,264.0,383.0
Bob Shults,264.0,201.0
Enronperformancemanagement,264.0,6.0
Sue Nord,263.0,170.0
Shari Stack,262.0,227.0
Anjam Ahmad,261.0,41.0
Cassandra Schultz,260.0,137.0
Holly Keiser,260.0,93.0
Lloyd Will,258.0,465.0
Heather Dunton,258.0,249.0
David Minns,258.0,94.0
Gfergus Brobeck,257.0,205.0
Kaye Ellis,254.0,368.0
Scott Govenar,254.0,176.0
Robert Williams,253.0,219.0
Julie Armstrong,251.0,85.0
Kerri Thompson,250.0,231.0
Edward Sacks,249.0,277.0
Enronwest,248.0,0.0
Mary Solmonson,247.0,82.0
Msn Promotion,247.0,17.0
Phillip Platter,245.0,174.0
Harry Kingerski,242.0,629.0
Tanya Tamarchenko,242.0,145.0
Leslie Hansen,241.0,202.0
Ben Jacoby,240.0,269.0
Tk Lohman,240.0,118.0
Matthias Lee,240.0,42.0
Paul Simons,239.0,214.0
Christian Yoder,237.0,527.0
Mary Miller,237.0,294.0
Beverly Stephens,237.0,12.0
Christopher Watts,235.0,15.0
Tammie Schoppe,233.0,345.0
Sharron Westbrook,231.0,76.0
Sylvia Hu,231.0,7.0
Lisa Yoho,230.0,132.0
Caroline Emmert,229.0,74.0
Ricky Archer,228.0,0.0
Mike Jordan,227.0,138.0
Michael Bodnar,227.0,102.0
Pat Clynes,224.0,384.0
John Postlethwaite,224.0,237.0
Lee Papayoti,224.0,88.0
Craig Buehler,224.0,68.0
Apsc,224.0,17.0
Brianc,223.0,136.0
Fran Chang,221.0,337.0
Carol St. Claire,220.0,169.0
Bmcmills,218.0,13.0
Miyung Buster,218.0,12.0
Sheryl Gussett,217.0,213.0
Tom Acton,217.0,155.0
John Shafer,217.0,122.0
Samantha Boyd,216.0,440.0
Chris Meyer,215.0,72.0
Keegan Farrell,215.0,72.0
Louis Dicarlo,215.0,68.0
Zhiyong Wei,214.0,72.0
Elizabeth Brown,213.0,44.0
Jeff Smith,213.0,3.0
Geir Solberg,211.0,2553.0
Jason Wolfe,211.0,585.0
Ron Coker,211.0,56.0
Davila Txu,211.0,1.0
Lydia Delgado,211.0,0.0
Sharen Cason,210.0,174.0
Enerfax,210.0,0.0
Jerry Graves,209.0,35.0
Justin Boyd,208.0,295.0
Jean Mrha,208.0,120.0
Irena Hogan,208.0,75.0
Mike Roberts,207.0,228.0
Rahil Jafry,204.0,94.0
Sharon Brown,204.0,23.0
Ted Murphy,203.0,521.0
Joseph Alamo,203.0,323.0
Iris Mack,203.0,36.0
David Baumbach,202.0,294.0
Janel Guerrero,202.0,173.0
Samantha Law,201.0,58.0
Keavey,199.0,9.0
Ravi Thuraisingham,198.0,65.0
Lisa Jacobson,198.0,23.0
Paul Kaufman,197.0,834.0
Kevin Ruscitti,197.0,315.0
Janine Migden,197.0,85.0
Savita Puthigai,196.0,87.0
Christine Stokes,195.0,127.0
John Buchanan,193.0,324.0
Christie Patrick,193.0,187.0
Hollis Kimbrough,193.0,111.0
Mitch Robinson,193.0,89.0
Reagan Rorschach,193.0,61.0
Peter Mims,192.0,289.0
George Weissman,192.0,48.0
Sonia Hennesy,192.0,46.0
Carol Stclaire,191.0,351.0
Sandy Cofer,191.0,303.0
Ava Garcia,190.0,198.0
Caiso,190.0,123.0
Andrea Dahlke,190.0,56.0
Joanne Rozycki,190.0,22.0
Jason Williams,189.0,369.0
Susan Landwehr,188.0,133.0
Willie Harrell,188.0,25.0
Chris Abel,187.0,519.0
Aimee Lannou,187.0,263.0
Garrick Hill,185.0,45.0
Maureen Mcvicker,184.0,98.0
Eric Gadd,183.0,287.0
Dan Masters,182.0,186.0
Greg Johnston,182.0,134.0
University Of Berkley,182.0,18.0
Sunita Katyal,182.0,2.0
Vladi Pimenov,180.0,138.0
Nora Dobin,180.0,48.0
Mark Mccoy,179.0,308.0
Rob Taylor,178.0,178.0
Glen Hass,178.0,128.0
Dawn Kenne,178.0,114.0
Leslie Lawner,177.0,184.0
Peter Styles,177.0,35.0
Dgioffre,177.0,12.0
Jgallagher Epsa,177.0,7.0
Online Customerservice,177.0,3.0
Brant Reves,176.0,133.0
Marcus Nettelton,175.0,193.0
Dennis Lee,175.0,80.0
Joann Collins,174.0,284.0
Jay Webb,174.0,250.0
Williamson,174.0,11.0
Delainey,173.0,23.0
Mkhenderson,173.0,4.0
Melba Lozano,172.0,125.0
Chip Schneider,172.0,80.0
Luiz Maurer,172.0,30.0
Judy Thorne,172.0,29.0
Mike Swerzbin,171.0,421.0
Amanda Rybarski,171.0,154.0
Stephani Piwetz,170.0,112.0
Robin Barbe,169.0,241.0
Aleck Dadson,169.0,131.0
Steven Leppard,169.0,95.0
Rapp,169.0,18.0
Dale Stef,168.0,135.0
Beverly Beaty,168.0,107.0
Geoff Storey,167.0,438.0
Craig Dean,166.0,3743.0
Jeffrey Hodge,166.0,961.0
Norma Villarreal,166.0,200.0
Lara Leibman,166.0,66.0
Melissa Jones Cmjones Txu,166.0,0.0
Bryan Seyfried,165.0,143.0
Carroll,165.0,73.0
Tim Powell,165.0,73.0
Mark Elliott,165.0,45.0
Chris Smith,165.0,7.0
Barbara Gray,164.0,378.0
Laura Luce,164.0,106.0
Will Smith,164.0,44.0
Siva Csiva Eev,164.0,0.0
Mona Petrochko,163.0,198.0
Kim Theriot,163.0,163.0
John Valdes,163.0,60.0
Matt Motsinger,163.0,19.0
Janet Butler,162.0,25.0
Timo Apbenergy,162.0,0.0
Ccampbell Kslaw,161.0,52.0
Bruno Gaillard,161.0,39.0
Sandra Mcnichols,161.0,27.0
El List Cel Egsa Egov,161.0,0.0
Motley Fool,161.0,0.0
Melissa Murphy,160.0,214.0
Day,160.0,131.0
Rigzone Newsletter,160.0,0.0
Sarah Joy Hunter,158.0,13.0
Mark Palmer,157.0,620.0
Linda Noske,157.0,174.0
Harry Arora,156.0,352.0
Andrew Edison,156.0,243.0
Sheri Thomas,156.0,167.0
Susan Lindberg,156.0,29.0
Laura Vuittonet,156.0,20.0
Deborah Edison,156.0,12.0
Amy Copeland,156.0,0.0
Travis Mccullough,155.0,226.0
John Singer,155.0,133.0
Matthews,155.0,29.0
W Bice,154.0,71.0
Chet Fenner Bmc,153.0,211.0
Jackie Young,153.0,132.0
Jeff Duff,153.0,69.0
Knipe,152.0,199.0
Anne Koehler,151.0,193.0
Mike Smith,150.0,132.0
Richard Hrabal,150.0,113.0
Julie Kearney,150.0,5.0
Jay Reitmeyer,149.0,398.0
Lillian Carroll,149.0,19.0
Scott Goodell,147.0,378.0
Larry May,147.0,261.0
Greenberg,146.0,34.0
Rogers Herndon,145.0,298.0
Legal Temp,145.0,52.0
Dean Urbanik,145.0,1.0
Dan Bump,144.0,145.0
Janice Moore,144.0,106.0
Chris Long,144.0,61.0
Cynthia Sandherr,144.0,57.0
Kelly Johnson,144.0,23.0
Dgagliardi Reliant,143.0,0.0
Jan Moore,142.0,193.0
Gary Hanks,142.0,171.0
Jinsung Myung,142.0,148.0
Edmund Cooper,141.0,142.0
Lysa Akin,141.0,103.0
Robert Superty,140.0,253.0
Larry Hunter,140.0,217.0
Toby Kuehl,140.0,83.0
Gail Brownfeld,140.0,57.0
Paul Y'Barbo,139.0,332.0
John Viverito,139.0,59.0
Jane Mcbride,139.0,54.0
Nancy Sellers,138.0,246.0
Chris Walker,138.0,111.0
Amanda Huble,138.0,108.0
Jill Chatterton,138.0,9.0
Mark Molnar Cmarkm Cajunusa,138.0,0.0
Sharon Crawford,137.0,34.0
Joannie Williamson,136.0,27.0
Robert Johnston,136.0,25.0
Ron Howard,136.0,24.0
Denton,136.0,17.0
Kimberly Hundl,135.0,137.0
Adarsh Vakharia,135.0,4.0
Ipayit,135.0,4.0
Brenda Whitehead,134.0,189.0
Dave Nommensen,134.0,62.0
Lisa Cousino,133.0,32.0
George Robinson,133.0,17.0
Concure,133.0,2.0
Luis Montoya,133.0,2.0
Caroline Abramo,132.0,134.0
Megan Parker,132.0,92.0
Debra Davidson,132.0,81.0
Wade Stubblefield,132.0,49.0
Kimberly Bates,132.0,29.0
Chris Cramer,132.0,15.0
Michael Neves,132.0,7.0
Liz Taylor,131.0,111.0
Susan Pereira,131.0,91.0
Mike Curry,131.0,84.0
Stacey Richardson,131.0,74.0
Jaime Williams,131.0,32.0
Eugenio Perez,131.0,31.0
Michael Kass,131.0,6.0
Brent Price,130.0,270.0
Tina Spiller,130.0,35.0
Ryan O'Rourke,130.0,26.0
Nytimes,130.0,0.0
Julissa Marron,128.0,11.0
Steven Kean,127.0,479.0
Wendy Conwell,127.0,95.0
Rufino Doroteo,127.0,19.0
Laurel Adams,125.0,295.0
Kimberly Hillis,125.0,172.0
Moore,125.0,123.0
Cindy Derecskey,125.0,30.0
Ellen Wallumrod,124.0,300.0
Beth Apollo,124.0,272.0
Theresa Bushman,124.0,129.0
Tom Doukas,124.0,64.0
Mark Knippa,123.0,177.0
Tom May,123.0,69.0
Maria Sandoval,123.0,37.0
Eric Boyt,122.0,198.0
Ted Bland,122.0,73.0
Farrell,122.0,32.0
Slinger,122.0,23.0
Baxter Cliff,121.0,192.0
Lng Hoegh Galleon Master Cmaster Eamar Eno,121.0,3.0
Lopez,121.0,2.0
Frank Vickers,120.0,117.0
Eric Thode,120.0,92.0
Mollie Gustafson,120.0,74.0
Debbie Brackett,119.0,480.0
Phil Demoes,119.0,67.0
Ramona Betancourt,119.0,58.0
Katherine Brown,119.0,15.0
Carlos Alatorre,118.0,122.0
Dave Fuller,118.0,78.0
Gregory Schockling,118.0,14.0
Elizabeth Linnell,117.0,130.0
Stephanie Sever,117.0,110.0
Lokey,117.0,46.0
Pereira,117.0,13.0
Powerprices Cpowerprices Amerexenergy,117.0,0.0
Tyrell Harrison,116.0,62.0
Kathryn Sheppard,116.0,25.0
Rostant,116.0,13.0
Philip Polsky,115.0,145.0
Jeffery Fawcett,115.0,44.0
Rick Johnson,115.0,39.0
Dinah Schlecht,115.0,2.0
Jeffrey Porter,114.0,79.0
Kurt Anderson,114.0,42.0
Reyes,114.0,29.0
Paul Radous,113.0,199.0
Kathy Reeves,113.0,104.0
Alexandra Villarreal,113.0,99.0
Hogan,113.0,22.0
Vance Taylor,112.0,149.0
Kay Young,112.0,54.0
Deb Korkmas,112.0,49.0
Scott Palmer,112.0,44.0
Cecilia Cheung,112.0,30.0
Mary Pulhamus,112.0,27.0
Esther Buckley,112.0,5.0
Mark Walker,111.0,126.0
Maria Beccaccini,111.0,0.0
Office Of,111.0,0.0
Thane Twiggs,110.0,21.0
Miguel Maltes,110.0,18.0
Angela Davis,109.0,153.0
Wanda Curry,109.0,96.0
Fred Mitro,109.0,68.0
John Ruiz,109.0,19.0
David Roensch,108.0,119.0
Michelle Blaine,108.0,51.0
Krisa,107.0,67.0
Melissa Jones,107.0,32.0
Nancy Hernandez,107.0,31.0
Toni Graham,106.0,68.0
Emily Sellers,106.0,61.0
Lance Cunningham,106.0,42.0
Bobette Riner,106.0,7.0
Eduardo Robles,106.0,0.0
Jeanie Slone,105.0,209.0
Donna Fulton,105.0,156.0
Jeffrey Keeler,105.0,77.0
J Martin Baylor,105.0,27.0
Marc Phillips,105.0,17.0
Mendez,105.0,16.0
Clem Cernosek,104.0,128.0
Mike Fowler,104.0,30.0
Brandee Jackson,104.0,23.0
Cameron,103.0,224.0
Mark Pickering,103.0,167.0
Faith Killen,103.0,67.0
Mary Ogden,103.0,48.0
Sami Arap,103.0,44.0
Joey Taylor,103.0,36.0
Jean Mcfarland,103.0,29.0
Louis Soldano,102.0,202.0
Janet Wallis,102.0,118.0
Jenny Helton,102.0,67.0
James Centilli,102.0,57.0
Zadow,102.0,53.0
Perry Frazier,102.0,37.0
Sandeep Kohli,102.0,31.0
Oneal Winfree,101.0,172.0
Elliot Mainzer,101.0,82.0
Janine Juggins,101.0,76.0
Paula Rieker,101.0,55.0
Mark Mcconnell,101.0,53.0
Stepenovitch,101.0,11.0
John Malowney,100.0,61.0
Molland Michael Cmmolland Brobeck,100.0,4.0
C Kyle,100.0,3.0
Sslater Epsa,100.0,2.0
Pma,100.0,0.0
Vasant Shanbhogue,99.0,387.0
Susan Flynn,99.0,332.0
Peter Keavey,99.0,240.0
Pinnamaneni Krishnarao,99.0,207.0
Alex Huang,99.0,70.0
Andy Rodriquez,99.0,44.0
Akatz Eei,99.0,40.0
John Harding,99.0,5.0
James New,98.0,52.0
Randy Janzen,98.0,12.0
Kathie Grabstald,98.0,11.0
Bryan Hull,97.0,312.0
James Scribner,97.0,104.0
Sarah Wesner,97.0,30.0
Mark Castiglione,97.0,27.0
Susan Wadle,97.0,24.0
Leticia Botello,97.0,0.0
Clint Freeland,96.0,121.0
Rob Bradley,96.0,77.0
Russ Severson,96.0,66.0
Randal Maffett,96.0,49.0
Araceli Romero,96.0,30.0
Mike Nolan,96.0,5.0
Cgtpscontracts Pge,96.0,0.0
Maritta Mullet,96.0,0.0
Maryanne Schneider Cmschneider,96.0,0.0
Mday Gmssr,95.0,242.0
Rob Walls,95.0,141.0
Johnny Palmer,95.0,69.0
Joya Davis,95.0,53.0
Tonai Lehr,95.0,7.0
Support Neg Pge,95.0,0.0
Richardson,94.0,318.0
Kevin Howard,94.0,77.0
Joel Ephross,94.0,49.0
Angela Barnett,94.0,46.0
Kate Cole,94.0,12.0
Register Com,94.0,4.0
Katherine Kelly,93.0,420.0
Heather Kroll,93.0,120.0
Rita Wynne,92.0,231.0
Robert Frank,92.0,107.0
Carl Carter,92.0,48.0
Showard Agsk,92.0,28.0
Sanchez,92.0,24.0
Hu,92.0,1.0
S Oblander,92.0,1.0
Itara,92.0,0.0
Lizzette Palmer,91.0,58.0
Exchmigteam,91.0,0.0
Jennifer Fraser,90.0,224.0
Bates,90.0,49.0
Kevin Heal,90.0,16.0
Sara Davidson,90.0,11.0
Don Blake,90.0,10.0
Td Waterhouse,90.0,9.0
Lacrecia Davenport,90.0,7.0
Michael Mitcham,90.0,0.0
Scott Mills,89.0,87.0
Stephanie Harris,89.0,80.0
Robert Hemstock,89.0,51.0
Cindy Stark,89.0,19.0
Donna Johnson,89.0,19.0
Terrie James,89.0,18.0
Barbara Lewis,89.0,16.0
Attglobal,89.0,4.0
Jeff Skilling,88.0,277.0
Kal Shah,88.0,79.0
Howard Fromer,88.0,34.0
Shari Mao,88.0,28.0
Nicole Mendez,88.0,22.0
Body Shop,88.0,4.0
Barry Pearce,87.0,55.0
Suzanne Calcagno,87.0,41.0
Sheppard,87.0,36.0
Performance Management,87.0,12.0
Sam Jackson,87.0,1.0
Maiser Wscc,87.0,0.0
Steve Kean,86.0,600.0
Suzanne Adams,86.0,445.0
Greg Piper,86.0,231.0
Anne Bike,86.0,185.0
Gary Lamphier,86.0,124.0
Jeanette Doll,86.0,60.0
Norman Lee,86.0,44.0
Mansoor Abdmoulaie,86.0,34.0
Jim Coffey,85.0,84.0
Doug Leach,85.0,43.0
Heidi Griffith,85.0,23.0
Jeff Youngflesh,85.0,10.0
Doug Miller,85.0,4.0
Rob Milnthorp,84.0,231.0
Diane Anderson,84.0,206.0
Fernley Dyson,84.0,133.0
Steve Venturatos,84.0,128.0
Bernadette Hawkins,84.0,94.0
Campbell,84.0,87.0
Kupiecki,84.0,83.0
Donna Greif,84.0,53.0
Kearney,84.0,31.0
Brad Alford,84.0,24.0
Arteaga,84.0,22.0
Team Kingman,84.0,10.0
Jpainter Igservice,84.0,0.0
Robert Badeer,83.0,706.0
Molly Magee,83.0,117.0
Undisclosed Recipients,83.0,116.0
Monique Sanchez,83.0,103.0
Raislerk Sullcrom,83.0,93.0
Michael Moscoso,83.0,84.0
Tammy Shepperd,83.0,52.0
Clement Lau,83.0,27.0
Nony Flores,82.0,57.0
Cathy Phillips,82.0,42.0
Rhonda Denton,82.0,22.0
Nella Cappelletto,82.0,18.0
Simone La,82.0,10.0
Brown Mary Jo Lilly,82.0,4.0
Kay Quigley,82.0,4.0
Ddavis Hollandhart,82.0,1.0
Fraisy George,82.0,0.0
Rich Jolly,81.0,190.0
Anita Dupont,81.0,75.0
Dave Perrino,81.0,67.0
Richard Sage,81.0,57.0
Mark Powell,81.0,43.0
Margaret Daffin,81.0,38.0
Paul Choi,81.0,32.0
Steve Nat,81.0,31.0
Laura Harder,81.0,24.0
Thomas Engel,81.0,16.0
Julie Clyatt,81.0,15.0
Lex Carroll,81.0,4.0
Webmaster Cera,81.0,3.0
Scasey Tfsbrokers,81.0,0.0
Kimberly Brown,80.0,251.0
Jonathan Hoff,80.0,60.0
Rudwell Johnson,80.0,32.0
Jad Doan,80.0,19.0
Dan Douglass,80.0,16.0
Bryant Cheatsheets,80.0,0.0
David Allan,79.0,99.0
Jeremy Wong,79.0,80.0
Trevor Woods,79.0,52.0
Campos,79.0,32.0
Sean Boyle,79.0,28.0
Geynille Dillingham,79.0,19.0
Jgalvan Kpmg,79.0,16.0
Amosley Houston,79.0,15.0
Carmen Perez,79.0,15.0
Subscriptions Intelligencepress,79.0,0.0
Keith Holst,78.0,242.0
Donna Lowry,78.0,163.0
Airam Arteaga,78.0,135.0
Susan Musch,78.0,105.0
Joseph Deffner,78.0,85.0
Daniel Diamond,78.0,60.0
Tori Wells,78.0,34.0
Clement Abrams,77.0,117.0
Steve Walton,77.0,116.0
Mark Schroeder,77.0,60.0
Nicki Daw,77.0,54.0
Dhunter K W,77.0,52.0
Robert Cass,77.0,52.0
Glory Chi,77.0,23.0
Brenna Neves,77.0,15.0
Scott Laidlaw,77.0,7.0
Ken Powers,77.0,5.0
Britt Whitman,77.0,0.0
Owner Evmba Social,77.0,0.0
Miller,76.0,317.0
Chris Hilgert,76.0,119.0
Anita Luong,76.0,69.0
Lisa Kinsey,76.0,42.0
Sabrae Zajac,76.0,38.0
Bswaldrop,76.0,37.0
Lmfoust,76.0,34.0
Cheryl Kuehl,76.0,6.0
Smith Day,75.0,77.0
Troy Denetsosie,75.0,28.0
Donald Robinson,75.0,26.0
Tom Hoatson,75.0,26.0
Susie Ayala,75.0,23.0
Laura Levy,75.0,0.0
Scott Sefton,74.0,92.0
Jesse Bryson,74.0,51.0
Cheryl Dudley,74.0,43.0
Richard Lydecker,74.0,40.0
Michael Legler,74.0,34.0
Ayesha Kanji,74.0,21.0
Amy Clemons,74.0,11.0
Shawn Grady,74.0,3.0
Sasha Divelbiss,74.0,1.0
New York Times Direct Cnytdirect Nytimes,74.0,0.0
Rick Dietz,73.0,174.0
Marlene Hilliard,73.0,49.0
Kim Melodick,73.0,47.0
Karen Marshall,73.0,15.0
Villeggiante,73.0,4.0
Tco Fcommercial Fservices Nisource,73.0,0.0
Lauri Allen,72.0,210.0
Bill Rapp,72.0,147.0
David Fairley,72.0,78.0
Sherri Sera,72.0,68.0
Bruce Lundstrom,72.0,63.0
Joe Quenet,72.0,57.0
David Poston,72.0,47.0
Vernon Mercaldo,72.0,35.0
Elena Kapralova,72.0,24.0
Oscar Cedeno,72.0,21.0
Andrew Wu,72.0,19.0
Dcagle Mariner,72.0,1.0
Customercare Match,72.0,0.0
Edis Service Cedismail Incident,72.0,0.0
Valarie Sabo,71.0,161.0
Lora Sullivan,71.0,42.0
Jorge Garcia,71.0,34.0
Chartman Nbsrealtors,71.0,28.0
Ruscitti,71.0,10.0
Randall Curry,71.0,9.0
Jennifer Velasco,71.0,7.0
Janet Dietrich,70.0,287.0
Terry Kowalke,70.0,221.0
Teb Lokey,70.0,122.0
Stephen Douglas,70.0,80.0
Chaundra Woods,70.0,59.0
Max Sonnonstine,70.0,46.0
Andrea Yowman,70.0,36.0
Van Hooser,70.0,28.0
Avril Forster,70.0,16.0
Murielmcfarling Akllp,70.0,1.0
Howard Camp,69.0,131.0
Richard Tomaski,69.0,79.0
Michael Eiben,69.0,72.0
Mark Schrab,69.0,55.0
Rick Carson,69.0,52.0
Carolyn George,69.0,51.0
