Date,S02,S03,S04,S05,S06,S07,S08,S10,Pr2,Pr3,Holiday,FullPrice,PercentageDiscount,WeeklyUnitsSold
2011-03-04,0,0,0,0,0,0,0,0,0,0,False,10.99,0.0,117
2011-03-11,0,0,0,0,0,0,0,0,0,0,False,10.99,0.0,123
2011-03-18,0,0,0,0,0,0,0,0,0,0,False,10.99,0.0,117
2011-03-25,0,0,0,0,0,0,0,0,0,0,False,10.99,0.0,121
2011-04-01,0,0,0,0,0,0,0,0,0,0,False,10.99,0.0,118
2011-04-08,0,0,0,0,0,0,0,0,0,0,False,10.99,0.0,138
2011-04-15,0,0,0,0,0,0,0,0,0,0,False,10.99,0.0,166
2011-04-22,0,0,0,0,0,0,0,0,0,0,False,10.99,0.0,292
2011-04-29,0,0,0,0,0,0,0,0,0,0,False,10.99,0.0,240
2011-05-06,0,0,0,0,0,0,0,0,0,0,False,10.99,20.018198362147423,171
2011-05-13,0,0,0,0,0,0,0,0,0,0,False,10.99,20.018198362147423,147
2011-05-20,0,0,0,0,0,0,0,0,0,0,False,10.99,20.018198362147423,129
2011-05-27,0,0,0,0,0,0,0,0,0,0,False,10.99,20.018198362147423,134
2011-06-03,0,0,0,0,0,0,0,0,0,0,False,10.99,0.0,95
2011-06-10,0,0,0,0,0,0,0,0,0,0,False,10.99,0.0,92
2011-06-17,0,0,0,0,0,0,0,0,0,0,False,10.99,0.0,87
2011-06-24,0,0,0,0,0,0,0,0,0,0,False,10.99,0.0,91
2011-07-01,0,0,0,0,0,0,0,0,0,0,False,10.99,0.0,89
2011-07-08,0,0,0,0,0,0,0,0,0,0,False,10.99,0.0,93
2011-07-15,0,0,0,0,0,0,0,0,0,0,False,10.99,0.0,91
2011-07-22,0,0,0,0,0,0,0,0,0,0,False,10.99,0.0,91
2011-07-29,0,0,0,0,0,0,0,0,0,0,False,10.99,0.0,92
2011-08-05,0,0,0,0,0,0,0,0,0,0,False,10.99,0.0,89
2011-08-12,0,0,0,0,0,0,0,0,0,0,False,10.99,0.0,84
2011-08-19,0,0,0,0,0,0,0,0,0,0,False,10.99,0.0,85
2011-08-26,0,0,0,0,0,0,0,0,0,0,False,10.99,0.0,84
2011-09-02,0,0,0,0,0,0,0,0,0,0,False,10.99,0.0,88
2011-09-09,0,0,0,0,0,0,0,0,0,0,True,10.99,0.0,103
2011-09-16,0,0,0,0,0,0,0,0,0,0,False,10.99,0.0,107
2011-09-23,0,0,0,0,0,0,0,0,0,0,False,10.99,0.0,103
2011-09-30,0,0,0,0,0,0,0,0,0,0,False,10.99,0.0,106
2011-10-07,0,0,0,0,0,0,0,0,0,0,False,10.99,0.0,120
2011-10-14,0,0,0,0,0,0,0,0,0,0,False,10.99,0.0,133
2011-10-21,0,0,0,0,0,0,0,0,0,0,False,10.99,0.0,135
2011-10-28,0,0,0,0,0,0,0,0,0,0,False,10.99,0.0,183
2011-11-04,0,0,0,0,0,0,0,0,0,0,False,10.99,0.0,231
2011-11-11,0,0,0,0,0,0,0,0,0,0,False,10.99,0.0,108
2011-11-18,0,0,0,0,0,0,0,0,0,0,False,10.99,0.0,110
2011-11-25,0,0,0,0,0,0,0,0,0,0,True,10.99,0.0,121
2011-12-02,0,0,0,0,0,0,0,0,0,0,False,10.99,0.0,146
2011-12-09,0,0,0,0,0,0,0,0,0,0,False,10.99,0.0,193
2011-12-16,0,0,0,0,0,0,0,0,0,0,False,10.99,0.0,265
2011-12-23,0,0,0,0,0,0,0,0,0,0,False,10.99,0.0,271
2011-12-30,0,0,0,0,0,0,0,0,0,0,True,10.99,0.0,135
